game_id,win,duration,avg_kda,avg_gold_per_min,avg_damage_champ_per_min,avg_vision_score,baron_kills,dragon_kills,tower_kills
3735500005,0,1863,1.2991666666666668,417.55233494363927,854.8727858293075,31.4,0,1,4
3735500005,1,1863,4.126984126984127,450.8405797101449,1000.5668276972623,29.8,1,4,10
3735507241,0,1761,1.4800865800865801,362.79386712095396,732.5996592844974,28.2,0,0,3
3735507241,1,1761,3.1285714285714286,450.11243611584325,911.7546848381601,26.2,1,4,10
3735555951,0,1913,2.3797008547008547,376.0334553058024,651.6257187663356,24.8,0,1,3
3735555951,1,1913,3.412703962703963,441.5661265028751,945.5410350235231,20.2,1,3,11
3735590351,0,1597,1.7307070707070706,376.9743268628678,750.2892924232935,24.2,0,1,1
3735590351,1,1597,5.1,433.577958672511,764.257983719474,20.8,1,2,9
3735606344,0,1118,2.7666666666666666,347.37745974955277,364.1538461538462,11.0,0,1,1
3735606344,1,1118,3.7666666666666666,387.8425760286226,427.01967799642216,12.2,0,1,3
3735606755,0,1736,3.5445238095238096,347.05299539170505,654.684331797235,26.0,0,1,4
3735606755,1,1736,4.516666666666667,407.57834101382485,684.2073732718893,21.4,1,3,11
3735613888,0,1426,2.057142857142857,340.9901823281908,457.6661991584853,15.6,0,0,1
3735613888,1,1426,3.1933333333333334,424.2075736325386,646.8807854137448,20.2,0,3,10
3735645195,0,1797,2.3519047619047617,371.6260434056761,819.6727879799666,29.2,0,2,5
3735645195,1,1797,3.18,402.92487479131887,936.0667779632722,26.4,1,2,9
3735645761,0,2333,1.268888888888889,374.63351907415347,819.1684526360909,36.6,0,2,7
3735645761,1,2333,5.527063492063492,411.8268324046292,869.0407201028718,35.4,1,4,12
3735672772,0,1807,1.3938095238095236,382.83785279468736,736.4958494742666,21.2,1,1,3
3735672772,1,1807,3.6399999999999997,423.8450470392916,876.2523519645822,25.6,0,3,11
3735759200,0,2151,2.2666666666666666,394.7726638772664,963.9944211994422,34.0,0,2,7
